isfrom,goesto,count
"Austria","Austria",0
"Belgium","Austria",2
"Bulgaria","Austria",114
"Croatia","Austria",105
"Czech Republic","Austria",103
"Denmark","Austria",1
"Estonia","Austria",9
"Finland","Austria",2
"France","Austria",7
"Germany","Austria",123
"Greece","Austria",4
"Hungary","Austria",309
"Ireland","Austria",1
"Italy","Austria",33
"Latvia","Austria",10
"Lithuania","Austria",43
"Luxembourg","Austria",1
"Malta","Austria",0
"Netherlands","Austria",17
"Poland","Austria",151
"Portugal","Austria",7
"Romania","Austria",596
"Slovakia","Austria",234
"Slovenia","Austria",31
"Spain","Austria",4
"Sweden","Austria",6
"UK","Austria",4
"Austria","Belgium",2
"Belgium","Belgium",0
"Bulgaria","Belgium",75
"Croatia","Belgium",16
"Czech Republic","Belgium",11
"Denmark","Belgium",1
"Estonia","Belgium",7
"Finland","Belgium",1
"France","Belgium",240
"Germany","Belgium",20
"Greece","Belgium",22
"Hungary","Belgium",17
"Ireland","Belgium",5
"Italy","Belgium",158
"Latvia","Belgium",4
"Lithuania","Belgium",41
"Luxembourg","Belgium",5
"Malta","Belgium",1
"Netherlands","Belgium",325
"Poland","Belgium",105
"Portugal","Belgium",37
"Romania","Belgium",396
"Slovakia","Belgium",23
"Slovenia","Belgium",1
"Spain","Belgium",42
"Sweden","Belgium",2
"UK","Belgium",23
"Austria","Bulgaria",0
"Belgium","Bulgaria",0
"Bulgaria","Bulgaria",0
"Croatia","Bulgaria",4
"Czech Republic","Bulgaria",1
"Denmark","Bulgaria",0
"Estonia","Bulgaria",0
"Finland","Bulgaria",0
"France","Bulgaria",0
"Germany","Bulgaria",4
"Greece","Bulgaria",4
"Hungary","Bulgaria",0
"Ireland","Bulgaria",0
"Italy","Bulgaria",2
"Latvia","Bulgaria",0
"Lithuania","Bulgaria",0
"Luxembourg","Bulgaria",0
"Malta","Bulgaria",0
"Netherlands","Bulgaria",1
"Poland","Bulgaria",6
"Portugal","Bulgaria",1
"Romania","Bulgaria",5
"Slovakia","Bulgaria",0
"Slovenia","Bulgaria",0
"Spain","Bulgaria",0
"Sweden","Bulgaria",1
"UK","Bulgaria",4
"Austria","Czech Republic",3
"Belgium","Czech Republic",1
"Bulgaria","Czech Republic",77
"Croatia","Czech Republic",3
"Czech Republic","Czech Republic",0
"Denmark","Czech Republic",1
"Estonia","Czech Republic",0
"Finland","Czech Republic",0
"France","Czech Republic",3
"Germany","Czech Republic",19
"Greece","Czech Republic",2
"Hungary","Czech Republic",8
"Ireland","Czech Republic",0
"Italy","Czech Republic",6
"Latvia","Czech Republic",17
"Lithuania","Czech Republic",7
"Luxembourg","Czech Republic",0
"Malta","Czech Republic",0
"Netherlands","Czech Republic",2
"Poland","Czech Republic",54
"Portugal","Czech Republic",0
"Romania","Czech Republic",80
"Slovakia","Czech Republic",494
"Slovenia","Czech Republic",2
"Spain","Czech Republic",0
"Sweden","Czech Republic",3
"UK","Czech Republic",5
"Austria","Denmark",0
"Belgium","Denmark",2
"Bulgaria","Denmark",15
"Croatia","Denmark",7
"Czech Republic","Denmark",0
"Denmark","Denmark",0
"Estonia","Denmark",3
"Finland","Denmark",0
"France","Denmark",4
"Germany","Denmark",10
"Greece","Denmark",3
"Hungary","Denmark",3
"Ireland","Denmark",0
"Italy","Denmark",5
"Latvia","Denmark",7
"Lithuania","Denmark",44
"Luxembourg","Denmark",0
"Malta","Denmark",0
"Netherlands","Denmark",14
"Poland","Denmark",38
"Portugal","Denmark",3
"Romania","Denmark",122
"Slovakia","Denmark",2
"Slovenia","Denmark",0
"Spain","Denmark",5
"Sweden","Denmark",19
"UK","Denmark",11
"Austria","Estonia",0
"Belgium","Estonia",0
"Bulgaria","Estonia",0
"Croatia","Estonia",0
"Czech Republic","Estonia",0
"Denmark","Estonia",0
"Estonia","Estonia",0
"Finland","Estonia",0
"France","Estonia",0
"Germany","Estonia",0
"Greece","Estonia",1
"Hungary","Estonia",0
"Ireland","Estonia",1
"Italy","Estonia",0
"Latvia","Estonia",0
"Lithuania","Estonia",6
"Luxembourg","Estonia",0
"Malta","Estonia",0
"Netherlands","Estonia",1
"Poland","Estonia",0
"Portugal","Estonia",0
"Romania","Estonia",0
"Slovakia","Estonia",0
"Slovenia","Estonia",0
"Spain","Estonia",0
"Sweden","Estonia",0
"UK","Estonia",0
"Austria","Finland",1
"Belgium","Finland",0
"Bulgaria","Finland",12
"Croatia","Finland",0
"Czech Republic","Finland",0
"Denmark","Finland",2
"Estonia","Finland",121
"Finland","Finland",0
"France","Finland",4
"Germany","Finland",9
"Greece","Finland",0
"Hungary","Finland",0
"Ireland","Finland",1
"Italy","Finland",1
"Latvia","Finland",11
"Lithuania","Finland",32
"Luxembourg","Finland",0
"Malta","Finland",0
"Netherlands","Finland",8
"Poland","Finland",3
"Portugal","Finland",1
"Romania","Finland",23
"Slovakia","Finland",0
"Slovenia","Finland",0
"Spain","Finland",1
"Sweden","Finland",7
"UK","Finland",5
"Austria","Germany",118
"Belgium","Germany",46
"Bulgaria","Germany",405
"Croatia","Germany",290
"Czech Republic","Germany",256
"Denmark","Germany",14
"Estonia","Germany",30
"Finland","Germany",5
"France","Germany",113
"Germany","Germany",0
"Greece","Germany",262
"Hungary","Germany",221
"Ireland","Germany",9
"Italy","Germany",731
"Latvia","Germany",180
"Lithuania","Germany",532
"Luxembourg","Germany",5
"Malta","Germany",0
"Netherlands","Germany",440
"Poland","Germany",1825
"Portugal","Germany",149
"Romania","Germany",1759
"Slovakia","Germany",121
"Slovenia","Germany",39
"Spain","Germany",119
"Sweden","Germany",14
"UK","Germany",87
"Austria","Greece",0
"Belgium","Greece",6
"Bulgaria","Greece",397
"Croatia","Greece",3
"Czech Republic","Greece",0
"Denmark","Greece",2
"Estonia","Greece",0
"Finland","Greece",0
"France","Greece",8
"Germany","Greece",14
"Greece","Greece",0
"Hungary","Greece",7
"Ireland","Greece",2
"Italy","Greece",9
"Latvia","Greece",2
"Lithuania","Greece",1
"Luxembourg","Greece",0
"Malta","Greece",0
"Netherlands","Greece",9
"Poland","Greece",32
"Portugal","Greece",4
"Romania","Greece",232
"Slovakia","Greece",6
"Slovenia","Greece",2
"Spain","Greece",5
"Sweden","Greece",0
"UK","Greece",5
"Austria","Hungary",15
"Belgium","Hungary",1
"Bulgaria","Hungary",31
"Croatia","Hungary",13
"Czech Republic","Hungary",3
"Denmark","Hungary",0
"Estonia","Hungary",0
"Finland","Hungary",0
"France","Hungary",0
"Germany","Hungary",15
"Greece","Hungary",0
"Hungary","Hungary",0
"Ireland","Hungary",0
"Italy","Hungary",11
"Latvia","Hungary",5
"Lithuania","Hungary",0
"Luxembourg","Hungary",0
"Malta","Hungary",0
"Netherlands","Hungary",4
"Poland","Hungary",9
"Portugal","Hungary",2
"Romania","Hungary",232
"Slovakia","Hungary",35
"Slovenia","Hungary",2
"Spain","Hungary",2
"Sweden","Hungary",1
"UK","Hungary",5
"Austria","Ireland",0
"Belgium","Ireland",2
"Bulgaria","Ireland",5
"Croatia","Ireland",7
"Czech Republic","Ireland",40
"Denmark","Ireland",2
"Estonia","Ireland",8
"Finland","Ireland",1
"France","Ireland",10
"Germany","Ireland",16
"Greece","Ireland",1
"Hungary","Ireland",7
"Ireland","Ireland",0
"Italy","Ireland",7
"Latvia","Ireland",100
"Lithuania","Ireland",253
"Luxembourg","Ireland",0
"Malta","Ireland",1
"Netherlands","Ireland",7
"Poland","Ireland",449
"Portugal","Ireland",13
"Romania","Ireland",287
"Slovakia","Ireland",21
"Slovenia","Ireland",2
"Spain","Ireland",13
"Sweden","Ireland",1
"UK","Ireland",262
"Austria","Italy",5
"Belgium","Italy",15
"Bulgaria","Italy",160
"Croatia","Italy",95
"Czech Republic","Italy",15
"Denmark","Italy",1
"Estonia","Italy",6
"Finland","Italy",0
"France","Italy",82
"Germany","Italy",49
"Greece","Italy",34
"Hungary","Italy",27
"Ireland","Italy",0
"Italy","Italy",0
"Latvia","Italy",6
"Lithuania","Italy",53
"Luxembourg","Italy",0
"Malta","Italy",1
"Netherlands","Italy",21
"Poland","Italy",108
"Portugal","Italy",19
"Romania","Italy",2785
"Slovakia","Italy",19
"Slovenia","Italy",17
"Spain","Italy",79
"Sweden","Italy",2
"UK","Italy",20
"Austria","Latvia",0
"Belgium","Latvia",0
"Bulgaria","Latvia",0
"Croatia","Latvia",0
"Czech Republic","Latvia",0
"Denmark","Latvia",0
"Estonia","Latvia",2
"Finland","Latvia",0
"France","Latvia",0
"Germany","Latvia",0
"Greece","Latvia",0
"Hungary","Latvia",0
"Ireland","Latvia",0
"Italy","Latvia",1
"Latvia","Latvia",0
"Lithuania","Latvia",6
"Luxembourg","Latvia",0
"Malta","Latvia",0
"Netherlands","Latvia",1
"Poland","Latvia",0
"Portugal","Latvia",0
"Romania","Latvia",1
"Slovakia","Latvia",0
"Slovenia","Latvia",0
"Spain","Latvia",0
"Sweden","Latvia",0
"UK","Latvia",0
"Austria","Lithuania",0
"Belgium","Lithuania",1
"Bulgaria","Lithuania",0
"Croatia","Lithuania",0
"Czech Republic","Lithuania",0
"Denmark","Lithuania",0
"Estonia","Lithuania",0
"Finland","Lithuania",0
"France","Lithuania",0
"Germany","Lithuania",2
"Greece","Lithuania",0
"Hungary","Lithuania",0
"Ireland","Lithuania",0
"Italy","Lithuania",1
"Latvia","Lithuania",23
"Lithuania","Lithuania",0
"Luxembourg","Lithuania",0
"Malta","Lithuania",0
"Netherlands","Lithuania",2
"Poland","Lithuania",1
"Portugal","Lithuania",0
"Romania","Lithuania",4
"Slovakia","Lithuania",0
"Slovenia","Lithuania",0
"Spain","Lithuania",0
"Sweden","Lithuania",0
"UK","Lithuania",0
"Austria","Luxembourg",2
"Belgium","Luxembourg",8
"Bulgaria","Luxembourg",0
"Croatia","Luxembourg",5
"Czech Republic","Luxembourg",0
"Denmark","Luxembourg",0
"Estonia","Luxembourg",1
"Finland","Luxembourg",0
"France","Luxembourg",49
"Germany","Luxembourg",5
"Greece","Luxembourg",0
"Hungary","Luxembourg",4
"Ireland","Luxembourg",0
"Italy","Luxembourg",0
"Latvia","Luxembourg",2
"Lithuania","Luxembourg",10
"Luxembourg","Luxembourg",0
"Malta","Luxembourg",0
"Netherlands","Luxembourg",5
"Poland","Luxembourg",10
"Portugal","Luxembourg",97
"Romania","Luxembourg",52
"Slovakia","Luxembourg",0
"Slovenia","Luxembourg",1
"Spain","Luxembourg",0
"Sweden","Luxembourg",0
"UK","Luxembourg",6
"Austria","Netherlands",1
"Belgium","Netherlands",29
